id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31376,51959846,Southampton,16,3,25,6,2019,17,7,2019,0,4,0,0,650000
31377,51885605,Southampton,19,3,20,8,2019,21,8,2019,2,4,0,2,630000
31378,52461857,Southampton,15,3,13,2,2019,14,2,2019,1,3,0,2,630000
31379,50483922,Southampton,16,3,23,6,2019,20,8,2019,1,5,0,2,630000
31380,51862064,Southampton,16,3,16,8,2019,17,8,2019,1,3,0,2,625000
31381,52429412,Southampton,16,3,20,2,2019,21,8,2019,1,4,0,3,625000
31382,50557946,Southampton,16,3,2,4,2019,5,8,2019,1,3,0,2,595000
31383,51004057,Southampton,15,3,14,8,2019,16,8,2019,4,4,0,4,595000
31384,52406750,Southampton,18,3,24,4,2019,22,7,2019,2,4,0,1,585000
31385,51220710,Southampton,16,2,16,12,2018,20,8,2019,1,4,0,1,599995
31386,49962222,Southampton,16,1,22,11,2018,12,6,2019,2,4,0,2,585000
31387,49754343,Southampton,30,3,7,6,2019,21,8,2019,2,4,0,2,585000
31388,51691927,Southampton,18,3,13,8,2019,14,8,2019,0,3,0,0,600000
31389,52398719,Southampton,16,3,28,8,2019,28,8,2019,1,5,0,2,585000
31390,52539016,Southampton,18,3,4,6,2019,15,8,2019,3,4,0,3,585000
31391,52403253,Southampton,15,3,4,6,2019,24,7,2019,1,3,0,2,600000
31392,51655602,Southampton,19,3,29,7,2019,23,8,2019,1,3,0,4,585000
31393,52232590,Southampton,30,3,11,7,2019,23,8,2019,1,4,0,2,580000
31394,52054477,Southampton,19,3,20,8,2019,21,8,2019,2,3,0,2,599995
31395,52464736,Southampton,30,3,27,8,2019,27,8,2019,0,4,0,0,580000
31396,52526244,Southampton,17,3,4,6,2019,30,7,2019,2,3,0,2,580000
31397,51654191,Southampton,15,3,16,8,2019,27,8,2019,1,4,0,2,595000
31398,51035218,Southampton,30,3,30,1,2019,28,8,2019,1,4,0,2,599995
31399,50330079,Southampton,16,3,11,7,2019,1,8,2019,2,4,0,4,580000
31400,52059174,Southampton,14,5,21,3,2019,16,5,2019,2,2,0,1,425000
31401,50878914,Southampton,30,7,24,7,2019,25,7,2019,1,4,0,2,450000
31402,52197633,Southampton,30,3,17,7,2019,18,7,2019,2,5,0,2,425000
31403,52126261,Southampton,30,7,6,8,2019,28,8,2019,1,2,0,1,425000
31404,52323067,Southampton,19,3,25,6,2019,28,8,2019,2,4,0,1,425000
31405,51881878,Southampton,30,3,20,5,2019,1,8,2019,3,4,0,1,425000
31406,51495600,Southampton,18,3,9,8,2019,19,8,2019,2,3,0,2,425000
31407,52356028,Southampton,14,5,1,10,2018,22,8,2019,3,3,0,1,425000
31408,50697262,Southampton,30,3,31,7,2017,27,7,2019,1,5,0,2,425000
31409,44601527,Southampton,18,0,17,5,2019,18,5,2019,2,2,0,1,425000
31410,51477497,Southampton,14,5,10,11,2018,13,3,2019,0,2,0,0,425000
31411,49638801,Southampton,30,3,7,8,2019,15,8,2019,2,4,0,2,425000
31412,52403264,Southampton,14,5,9,7,2019,7,8,2019,0,2,0,0,450000
31413,52021688,Southampton,16,3,9,5,2019,25,6,2019,1,3,0,2,440000
31414,51383464,Southampton,19,3,28,8,2019,28,8,2019,1,4,0,2,425000
31415,52543880,Southampton,16,0,12,8,2019,22,8,2019,0,4,0,0,425000
